path	error
calculix__CalculiX-Examples/Test/Supports1/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Test/Supports1/all.msh'
calculix__CalculiX-Examples/Thermal/Thermal distortion/Tjoint.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/Thermal distortion/all.msh'
calculix__CalculiX-Examples/Thermal/Thermal shock/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/Thermal shock/all.msh'
calculix__CalculiX-Examples/Thermal/Thermografie/Naht.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/Thermografie/all.msh'
calculix__CalculiX-Examples/Thermal/thermo1d/solve.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/thermo1d/all.msh'
calculix__CalculiX-Examples/Thermal/thermo1d/solve2d.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/thermo1d/all.msh'
calculix__CalculiX-Examples/Thermal/thermo1d/solve2d_sep.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/thermo1d/separate-nod.inc'
calculix__CalculiX-Examples/Thermal/thermo1d/solve_sep.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__CalculiX-Examples/Thermal/thermo1d/separate-nod.inc'
calculix__examples/ccx/test/lin_stat_cooks_beam_128.inp	ValueError: calculix__examples/ccx/test/lin_stat_cooks_beam_128.inp:232: part/assembly/instance namespaces are not supported
calculix__examples/ccx/test/lin_stat_th_gradient.inp	ValueError: calculix__examples/ccx/test/lin_stat_th_gradient.inp:1292: part/assembly/instance namespaces are not supported
calculix__examples/ccx/test/lin_stat_twisted_beam.inp	ValueError: calculix__examples/ccx/test/lin_stat_twisted_beam.inp:25: part/assembly/instance namespaces are not supported
calculix__examples/cgx/airfoil/ccx/rae2822.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/airfoil/ccx/all.msh'
calculix__examples/cgx/compressor/lavffcyc.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/compressor/all.msh'
calculix__examples/cgx/dolfyn/mirror/spiegel.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/dolfyn/mirror/ingang.sur'
calculix__examples/cgx/glue/latjm.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/glue/all.msh'
calculix__examples/cgx/pressfit/flange.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/pressfit/all.msh'
calculix__examples/cgx/swepElements/ring1.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/swepElements/all.msh'
calculix__examples/cgx/thermal/latimtrans.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/thermal/all.msh'
calculix__examples/cgx/turbine/latim.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx/turbine/all.msh'
calculix__examples/cgx-jet-engine-model/thermal2D/test_2d.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/cgx-jet-engine-model/thermal2D/all.msh'
calculix__examples/other/CubeTie/CubeTie.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/other/CubeTie/Group_Inner_Cnt_L.sur'
calculix__examples/other/CubeTie/Mesh_Btm_OUT_ReID.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/other/CubeTie/Group_Inner_Cnt_L.sur'
calculix__examples/other/CubeTie/Mesh_Top_OUT_ReID.inp	FileNotFoundError: [Errno 2] No such file or directory: 'calculix__examples/other/CubeTie/Group_Inner_Cnt.sur'
calculix__examples/other/Kandala_Stepan_Floor.inp	ValueError: calculix__examples/other/Kandala_Stepan_Floor.inp:3: part/assembly/instance namespaces are not supported
calculix__examples/yahoo/abaqus1.inp	ValueError: calculix__examples/yahoo/abaqus1.inp:8: part/assembly/instance namespaces are not supported
calculix__examples/yahoo/abaqus2.inp	ValueError: calculix__examples/yahoo/abaqus2.inp:7: part/assembly/instance namespaces are not supported
calculix__examples/yahoo/linear_dload_abaqus.inp	ValueError: calculix__examples/yahoo/linear_dload_abaqus.inp:8: part/assembly/instance namespaces are not supported
calculix__examples/yahoo/nfv4x32x.inp	ValueError: calculix__examples/yahoo/nfv4x32x.inp:9: sets created by *NGEN are not supported
calculix__examples/yahoo/rot-solid.inp	ValueError: calculix__examples/yahoo/rot-solid.inp:8: part/assembly/instance namespaces are not supported
calculix__examples/yahoo/test1.inp	ValueError: calculix__examples/yahoo/test1.inp:2: ID must be a positive int64, got '0'
ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_cooks_beam_128.inp	ValueError: ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_cooks_beam_128.inp:232: part/assembly/instance namespaces are not supported
ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_th_gradient.inp	ValueError: ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_th_gradient.inp:1292: part/assembly/instance namespaces are not supported
ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_twisted_beam.inp	ValueError: ccx-2.22/CalculiX/ccx_2.22/test/lin_stat_twisted_beam.inp:25: part/assembly/instance namespaces are not supported
ccx-2.23/CalculiX/ccx_2.23/test/lin_stat_cooks_beam_128.inp	ValueError: ccx-2.23/CalculiX/ccx_2.23/test/lin_stat_cooks_beam_128.inp:232: part/assembly/instance namespaces are not supported
ccx-2.23/CalculiX/ccx_2.23/test/lin_stat_th_gradient.inp	ValueError: ccx-2.23/CalculiX/ccx_2.23/test/lin_stat_th_gradient.inp:1292: part/assembly/instance namespaces are not supported
ccx-2.23/CalculiX/ccx_2.23/test/lin_stat_twisted_beam.inp	ValueError: ccx-2.23/CalculiX/ccx_2.23/test/lin_stat_twisted_beam.inp:25: part/assembly/instance namespaces are not supported
